mean_mfcc1,mean_mfcc2,mean_mfcc3,mean_mfcc4,mean_mfcc5,mean_mfcc6,mean_mfcc7,mean_mfcc8,mean_mfcc9,mean_mfcc10,mean_mfcc11,mean_mfcc12,mean_mfcc13,mean_zcr,mean_centroid,mean_RMSE,label
-612.8723754882812,11.234983444213867,-90.01979064941406,-4.650778770446777,-14.792075157165527,-17.206689834594727,-16.73151206970215,-0.1732257455587387,-14.00765323638916,2.144803762435913,-3.705797433853149,5.299402713775635,8.52202320098877,0.4755859375,2125.8215258869227,0.021024165675044,1
-594.3534545898438,47.58892822265625,-112.5338363647461,-40.05507659912109,3.291765689849853,-5.653114795684815,-21.69435691833496,0.59354567527771,-19.15542984008789,-3.861396312713623,-5.26751184463501,14.263636589050291,5.37815523147583,0.2646484375,1644.0957936819148,0.0263403989374637,1
-624.6040649414062,69.06481170654297,-88.18470001220703,-29.747407913208008,-1.9091717004776,-5.763761520385742,-22.54677391052246,-16.0179500579834,-16.62285804748535,-16.813264846801758,-9.631662368774414,4.654476165771484,-2.829958915710449,0.4695638020833333,1551.3104781354464,0.023905036970973,1
-538.6087036132812,70.80268859863281,-97.55435180664062,-21.175615310668945,-39.4064826965332,-22.4040470123291,-34.03694152832031,-11.460171699523926,-8.112630844116211,4.61504602432251,7.626185417175293,9.106606483459473,-2.621569395065308,0.2552083333333333,1610.3351384505618,0.0138784749433398,1
-589.7979125976562,84.04331970214844,-55.96175765991211,-22.499778747558597,-21.690488815307617,-9.361549377441406,-13.369776725769045,-3.445318460464477,-8.21314525604248,-1.089072585105896,-3.975616216659546,-2.827415943145752,-6.334316730499268,0.47802734375,1567.647254132272,0.0174374878406524,1
-576.464111328125,142.3300018310547,-68.26598358154297,-11.747421264648438,-30.64685440063477,-5.501701831817627,-13.546530723571776,-6.89760684967041,-9.983566284179688,5.92772388458252,-13.824254989624023,-5.860618591308594,-18.8370418548584,0.2027994791666666,1278.612092420748,0.0054417606443166,1
-645.989013671875,95.60051727294922,-45.763946533203125,-13.50246238708496,-19.997802734375,-9.41876220703125,-5.470515727996826,-8.22913932800293,5.026598930358887,0.0200548507273197,-10.035682678222656,-7.7848005294799805,-9.409626960754396,0.4742838541666667,1395.2970806873732,0.0123393032699823,1
-695.3025512695312,27.996665954589844,-52.4367561340332,2.1146490573883057,-20.02910041809082,-13.829130172729492,3.382373809814453,-5.037056922912598,-1.401129126548767,11.83681583404541,-8.183205604553223,1.7929426431655884,-6.802756786346436,0.48876953125,2191.7226561398065,0.0175209566950798,1
-614.823486328125,48.25554275512695,-70.32157135009766,-26.386653900146484,-33.718345642089844,-25.77264976501465,3.799447774887085,11.389239311218262,3.843052387237549,19.45950126647949,-1.3271417617797852,-11.938849449157717,-4.676417350769043,0.50439453125,2011.5493313587976,0.0219207610934972,1
-649.8797607421875,0.7301859855651855,-43.51472854614258,-17.54029655456543,5.794487953186035,15.812175750732422,-7.46760368347168,-11.772342681884766,2.420832395553589,7.861599445343018,-0.9583653211593628,-10.5663423538208,2.1634202003479004,0.5478515625,1377.7655745903253,0.0416049621999263,1
-606.1396484375,14.88415813446045,-61.84968185424805,-24.19153213500977,0.7982475757598877,16.263765335083008,1.374262452125549,-4.404866695404053,-1.860478758811951,-0.2079882472753524,3.257299900054932,4.984814643859863,-0.2182394117116928,0.49072265625,1841.226342174101,0.0468290299177169,1
-564.793701171875,74.02593994140625,-75.57701873779297,-6.999967098236084,-16.732065200805664,0.2322258502244949,1.297261118888855,6.9465413093566895,5.616523742675781,13.52224349975586,3.293159246444702,-4.747925758361816,1.7972720861434937,0.3186848958333333,1752.3423476237458,0.0130035271868109,1
